,candle_begin_time,open,high,low,close,volume,volume_value,pos,start_time,equity_change,equity_curve
9,2005-01-17,990.99,991.02,974.33,977.52,4358603,2418653726,0.0,,0.0,1.0
10,2005-01-18,977.6,991.84,974.15,991.42,4516133,2523669419,-1.0,2005-01-18,-0.015184929749536002,0.984815070250464
11,2005-01-19,991.29,991.29,981.23,986.24,4255249,2304569213,-1.0,2005-01-18,0.005379795821617961,0.9901131742504639
12,2005-01-20,983.2,983.2,966.89,972.46,4652048,2588992483,-1.0,2005-01-18,0.01423492219530309,1.0042073582504638
13,2005-01-21,971.5,989.72,951.43,988.52,6185256,3412342279,-1.0,2005-01-18,-0.01635734678206069,0.987781190250464
14,2005-01-24,1009.95,1009.95,998.37,1008.17,7323355,4105828975,-1.0,2005-01-18,-0.01919350082180915,0.9688222111636241
15,2005-01-25,1006.0,1006.0,989.95,999.55,4694803,2651186737,1.0,2005-01-25,-0.007461312198199788,0.9615935261815821
16,2005-01-26,997.64,997.64,985.67,987.96,4113901,2238628613,1.0,2005-01-25,-0.014456661407449611,0.9476920941619794
17,2005-01-27,986.15,986.15,970.35,971.37,4123214,2214822674,-1.0,2005-01-27,0.013937016092804955,0.960900094129339
18,2005-01-28,971.37,971.94,949.11,952.41,4072373,2106037353,-1.0,2005-01-27,0.018961177760414616,0.9791198916241245
19,2005-01-31,948.44,948.44,921.58,922.65,4095099,2058937471,-1.0,2005-01-27,0.029208029987966677,1.0077180547804967
20,2005-02-01,919.8,929.69,911.93,913.33,4199746,2076599356,-1.0,2005-01-27,0.00888755057979651,1.0166741999625326
21,2005-02-02,913.02,964.42,913.02,964.24,6553566,3522826077,-1.0,2005-01-27,-0.04812009843348275,0.9677517373855532
22,2005-02-03,963.75,967.94,944.76,945.31,6371301,3476526549,-1.0,2005-01-27,0.018797143935308513,0.9859427060868343
23,2005-02-04,944.45,963.81,943.47,962.03,5193014,2874284614,-1.0,2005-01-27,-0.01629632987859908,0.9698754585070446
24,2005-02-16,967.43,979.3,965.94,972.34,4693323,2555290412,-1.0,2005-01-27,-0.010215224316462601,0.9599679631393632
25,2005-02-17,971.84,977.44,964.32,977.27,4031958,2081885379,-1.0,2005-01-27,-0.005812023528635857,0.9543886067508606
26,2005-02-18,977.12,977.12,964.55,964.77,4112811,2134898913,0.0,,0.0,0.9543886067508606
27,2005-02-21,965.0,981.89,964.47,981.82,4765203,2568576863,0.0,,0.0,0.9543886067508606
